"N° d'AR";"N° de commande";"Code client";"Code STAUFF";Désigniation;Quantité;"Prix unit.";"Date départ";Status
21903994;1770;168867;316104.272;CLH-426.9/26.9-PP-PP-BK;50;0,1648;12/06/2019;Expédié
21903994;1770;178155;911112809;SMK-20-9/16UNF-B-E-W3;100;2,8000;12/06/2019;Expédié
21903994;1770;261680;1210003019;SMK-20-M14x1.5-B-E-W3;210;2,6000;12/06/2019;Expédié
21903994;1770;279146;3191011209;CLH-112/08-PP-BK;300;0,5400;12/06/2019;Expédié
21903995;1768;163732;110103;SP-3-M-W2;500;0,2266;12/06/2019;Expédié
21903995;1768;163876;110102;SP-2-M-W2;975;0,2163;12/06/2019;Expédié
21903995;1768;168001;310502;SP-2D-M-W2-OV;2300;0,3090;12/06/2019;Expédié
21903995;1768;168486;116202.137;CLH-213.5-PP-BK;700;0,0618;12/06/2019;Expédié
21903995;1768;168488;116203.216;CLH-321.3-PP-BK;400;0,0721;12/06/2019;Expédié
21903995;1768;168489;116203.253;CLH-325-PP-BK;100;0,0721;12/06/2019;Expédié
21903995;1768;168490;125202;DP-2-W3;900;0,0618;12/06/2019;Expédié
21903995;1768;168491;125203;DP-3-W3;400;0,0618;12/06/2019;Expédié
21903995;1768;168492;316102.139;CLH-213.5/13.5-PP-BK;2400;0,0618;12/06/2019;Expédié
21903995;1768;168494;325202;GD-2D-W3;3200;0,1030;12/06/2019;Expédié
21903995;1768;168746;116201.124;CLH-112a-PP-BK;550;0,0618;12/06/2019;Expédié
21903995;1768;168758;316102.163;CLH-216/16-PP-BK;5000;0,0618;12/06/2019;Expédié
21903995;1768;168845;110101;SP-1A-M-W2;500;0,2060;12/06/2019;Expédié
21903995;1768;168847;125201;DP-1a-W3;1100;0,0515;12/06/2019;Expédié
21903995;1768;168850;116202.163;CLH-216-PP-BK;1150;0,0618;12/06/2019;Expédié
21903995;1768;168851;116203.202;CLH-320-PP-BK;1050;0,0721;12/06/2019;Expédié
21903995;1768;168852;316103.203;CLH-320/20-PP-BK;1050;0,0927;12/06/2019;Expédié
21903995;1768;168853;310503;SP-3D-M-W2-OV;1500;0,3399;12/06/2019;Expédié
21903995;1768;168854;325203;GD-3D-W3;4000;0,1030;12/06/2019;Expédié
21903995;1768;168855;316103.252;CLH-325/25-PP-PP-BK;900;0,0927;12/06/2019;Expédié
21903995;1768;168858;125204;DP-4-W3;650;0,0721;12/06/2019;Expédié
21903995;1768;168860;310504;SP-4D-M-W2-OV;100;0,3708;12/06/2019;Expédié
21903995;1768;168861;325204;GD-4D-W3;300;0,1236;12/06/2019;Expédié
21903995;1768;168863;316102.174;CLH-217.2/17.2-PP-BK;2000;0,0618;12/06/2019;Expédié
21903995;1768;168864;116203.232;CLH-323-PP-BK;300;0,0721;12/06/2019;Expédié
21903995;1768;168865;316103.232;CLH-323/23-PP-BK;2300;0,0927;12/06/2019;Expédié
21903995;1768;168866;116204.271;CLH-426.9-PP-BK;450;0,0824;12/06/2019;Expédié
21903995;1768;168868;116205.352;CLH-535-PP-BK;250;0,1236;12/06/2019;Expédié
21903995;1768;168869;110105;SP-5-M-W2;150;0,2575;12/06/2019;Expédié
21903995;1768;168870;125205;DP-5-W3;225;0,0824;12/06/2019;Expédié
21903995;1768;170387;316103.215;CLH-321.3/21.3-PP-BK;7200;0,0927;12/06/2019;Expédié
21903995;1768;172914;116202.183;CLH-218-PP-BK;150;0,0618;12/06/2019;Expédié
21903995;1768;173004;116201.084;CLH-108a-PP-BK;2000;0,0618;12/06/2019;Expédié
21903995;1768;173716;116205.402;CLH-540-PP-BK;100;0,1236;12/06/2019;Expédié
21903995;1768;174204;3191032018;CLH-320/16-PP-BK;1100;0,1030;12/06/2019;Expédié
21903995;1768;177119;325205;GD-5D-W3;125;0,1648;12/06/2019;Expédié
21903995;1768;177878;316104.282;CLH-428/28-PP-PP-BK;700;0,1648;12/06/2019;Expédié
21903995;1768;203617;116204.282;CLH-428-PP-BK;100;0,0824;12/06/2019;Expédié
21903995;1768;217217;316102.153;CLH-215/15-PP-BK;1400;0,0618;12/06/2019;Expédié
21903995;1768;230567;310303;SP-3D-M-W3;425;0,4200;12/06/2019;Expédié
21903995;1768;232463;3191032527;CLH-325/21.3-PP-BK;2500;0,1300;12/06/2019;Expédié
21903995;1768;233012;3191032525;CLH-325/20-PP-BK;200;0,1300;12/06/2019;Expédié
21903995;1768;245395;3191021615;CLH-216/13.5-PP-BK;200;0,1100;12/06/2019;Expédié
21903995;1768;257899;310302;SP-2D-M-W3;175;0,3800;12/06/2019;Expédié
21903995;1768;259718;316105.363;CLH-536/36-PP-PP-BK;400;0,3300;12/06/2019;Expédié
21903995;1768;259719;3191042623;CLH-426.9/22-PP-BK;100;0,2000;12/06/2019;Expédié
21903995;1768;261357;3191042531;CLH-430/25-PP-BK;350;0,2000;12/06/2019;Expédié
21903995;1768;261679;1210020982;SMK-20-M10x1-B-E-W3;400;3,1000;12/06/2019;Expédié
21903995;1768;264677;3191032426;CLH-325/23-PP-BK;400;0,1545;12/06/2019;Expédié
21903995;1768;268218;316102.123;CLH-212/12-PP-BK;150;0,5100;12/06/2019;Expédié
21903995;1768;268225;3191032014;CLH-320/13.5-PP-BK;100;0,7100;12/06/2019;Expédié
21903995;1768;271235;1130023848;CLH-01-36-71-PA-23848;250;5,6000;12/06/2019;Expédié
21903995;1768;271672;3191032322;CLH-323/20-PP-BK;100;0,1300;12/06/2019;Expédié
21903995;1768;274239;3192032019;CLH-320/17.2-PP-BK;50;0,1300;12/06/2019;Expédié
21903995;1768;274240;3192021715;CLH-217.2/13.5-PP-BK;500;0,6000;12/06/2019;Expédié
21903995;1768;274925;316103.163;CLH-316/16-PP-BK;150;0,1436;12/06/2019;Expédié
21903995;1768;281070;316103.175;CLH-317.2/17.2-PP-BK;400;0,1400;12/06/2019;Expédié
21903995;1768;281212;3192021713;CLH-217.2/12-PP-BK;200;0,1100;12/06/2019;Expédié
21903995;1768;281384;405203;DPL-3-W3;75;0,1400;12/06/2019;Expédié
21903995;1768;298844;3192021717;CLH-217.2/15-PP-BK;100;0,1100;12/06/2019;Expédié
